rank_b,rank_c,rank_m,loss,time
50,750,650,0.033957500010728836,0.6284022331237793
50,750,750,0.03402680531144142,0.6298906803131104
150,50,50,0.07135000079870224,0.5745325088500977
150,50,150,0.05997089669108391,0.5769402980804443
150,50,250,0.05149137228727341,0.5790226459503174
150,50,350,0.04522173851728439,0.5824780464172363
150,50,450,0.041284698992967606,0.5846493244171143
150,50,550,0.03972387686371803,0.5881562232971191
150,50,650,0.039392635226249695,0.5909929275512695
150,50,750,0.03920561075210571,0.594120979309082
150,150,50,0.04535696282982826,0.5797638893127441
150,150,150,0.03702574968338013,0.5840203762054443
150,150,250,0.030813155695796013,0.5874125957489014
150,150,350,0.025760658085346222,0.5886750221252441
150,150,450,0.023300236091017723,0.5899293422698975
150,150,550,0.02246963232755661,0.5952649116516113
150,150,650,0.022163810208439827,0.5966122150421143
150,150,750,0.021885136142373085,0.5992977619171143
150,250,50,0.03948929160833359,0.5866868495941162
150,250,150,0.03191681206226349,0.5895757675170898
150,250,250,0.025952458381652832,0.592360258102417
150,250,350,0.021687312051653862,0.59566330909729
150,250,450,0.019034376367926598,0.5968160629272461
150,250,550,0.01807853765785694,0.6000213623046875
150,250,650,0.01780100166797638,0.6019899845123291
150,250,750,0.017804335802793503,0.6060919761657715
150,350,50,0.03708409145474434,0.5925898551940918
150,350,150,0.02938207983970642,0.5958483219146729
150,350,250,0.02370685338973999,0.5992016792297363
150,350,350,0.019284717738628387,0.6005899906158447
150,350,450,0.0167798213660717,0.6033973693847656
150,350,550,0.015680642798542976,0.6052360534667969
150,350,650,0.015439730137586594,0.6075327396392822
150,350,750,0.015408510342240334,0.6118547916412354
150,450,50,0.03620009124279022,0.5977892875671387
150,450,150,0.02828483283519745,0.6010754108428955
150,450,250,0.022549845278263092,0.604482889175415
150,450,350,0.018391400575637817,0.6074128150939941
150,450,450,0.01555608119815588,0.6094269752502441
150,450,550,0.014667581766843796,0.6119611263275146
150,450,650,0.014571286737918854,0.6141488552093506
150,450,750,0.01459254790097475,0.6188898086547852
150,550,50,0.03555319085717201,0.6041197776794434
150,550,150,0.02783714234828949,0.6072900295257568
150,550,250,0.021994804963469505,0.6096022129058838
150,550,350,0.017926715314388275,0.6128487586975098
150,550,450,0.015256349928677082,0.6149861812591553
150,550,550,0.014133157208561897,0.6178462505340576
150,550,650,0.013989060185849667,0.6219620704650879
150,550,750,0.01410047896206379,0.6235811710357666
150,650,50,0.03506869077682495,0.6106839179992676
150,650,150,0.027657905593514442,0.6130127906799316
150,650,250,0.021820569410920143,0.6156778335571289
